,Unnamed: 0,song,songcode,artist,danceability,energy,acousticness
54,54,Moves,0Fv5N0cHBsl4bzCbollCAS,Big Sean,0.812,0.522,0.0433
55,55,Weak,3E2Zh20GDCR9B1EYjfXWyv,AJR,0.673,0.637,0.137
56,56,Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,0.852,0.773,0.187
57,57,Used to This (feat. Drake),78sr3ogs4UzITcCNbXM9cM,Future,0.618,0.727,0.0312
58,58,Immortal,6AGON2BGdPmPMJGiiNuuwl,J. Cole,0.744,0.43,0.455
59,59,Both (feat. Drake),5tFep7dXGd7vEJ668wTPux,Gucci Mane,0.85,0.405,0.119
60,60,Make Me (Cry),2BrzlUj1u1CtvaJDGIKpsP,"Noah Cyrus, Labrinth",0.588,0.471,0.592
61,61,All Night,1yNyoWWWikbLhwIGWjZuDW,"The Vamps, Matoma",0.563,0.775,0.00251
62,62,goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,0.841,0.728,0.0847
63,63,Too Many Years,0BU7nIcCZxYSE0hYcc5oZz,"Kodak Black, PnB Rock",0.664,0.704,0.0233
64,64,Don't Let Me Down (feat. Daya),0QsvXIfqM0zZoerQfsI9lm,The Chainsmokers,0.542,0.859,0.16
65,65,Panda,5OOkp4U9P9oL23maHFHL1h,Desiigner,0.576,0.766,0.028
66,66,Water,6HEIBHUirx1J0JkUD24szt,Ugly God,0.8,0.297,0.66
67,67,Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,Future,0.722,0.331,0.337
68,68,Selfish,2xbI8Vmyv3TkpTdywpPyNw,PnB Rock,0.638,0.6,0.114
69,69,Treat You Better,4Hf7WnR761jpxPr5D46Bcd,Shawn Mendes,0.624,0.803,0.123
70,70,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,J. Cole,0.692,0.521,0.301
71,71,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,Lil Wayne,0.502,0.786,0.255
72,72,Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,Petit Biscuit,0.783,0.467,0.729
73,73,Money Longer,0B8QzDH7YWih85V5SEMnyJ,Lil Uzi Vert,0.795,0.568,0.0541
74,74,Reminder,37F0uwRSrdzkBiuj0D5UHI,The Weeknd,0.706,0.505,0.142
75,75,Erase Your Social,4uhvMW7ly7tJil31YYscAN,Lil Uzi Vert,0.705,0.609,0.694
76,76,Ride,2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots,0.645,0.713,0.00835
77,77,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,"Post Malone, Quavo",0.63,0.804,0.215
78,78,Die For You,2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,0.586,0.525,0.111
79,79,Water Under the Bridge,4vb4mFvYsr2h6enhjJsq9Y,Adele,0.596,0.838,0.0189
80,80,Come and See Me (feat. Drake),1wZqJM5FGDEl3FjHDxDyQd,PARTYNEXTDOOR,0.717,0.347,0.0511
81,81,Don't,3pXF1nA74528Edde4of9CC,Bryson Tiller,0.765,0.356,0.223
82,82,Trust Nobody (feat. Selena Gomez & Tory Lanez),2wDjpPW3HZdA9quPPmZAMu,Cashmere Cat,0.42,0.636,0.494
83,83,Exchange,43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,0.525,0.433,0.107
84,84,Jumpman,27GmP9AWRs744SzKcpJsTZ,"Drake, Future",0.852,0.553,0.0559
85,85,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,gnash,0.492,0.275,0.687
86,86,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,Post Malone,0.675,0.562,0.233
87,87,Light,7zTx8ePYAmPFQuxP3xlXZn,San Holo,0.57,0.763,0.0857
88,88,Setting Fires,0B8B8cVRFIG1yznoQe7c9s,"The Chainsmokers, XYLØ",0.626,0.717,0.017
89,89,No Flockin',34oWbFBfGEElvgO0a5c9V4,Kodak Black,0.943,0.595,0.0673
90,90,Photograph,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,0.614,0.379,0.607
91,91,Don't Leave,0Zx8khUcEfCFK2AEoIhC92,"Snakehips, MØ",0.657,0.703,0.222
92,92,Work,14WWzenpaEgQZlqPq2nk4v,"Rihanna, Drake",0.725,0.534,0.0752
93,93,Gassed Up,6JjEVlMkfHWMeYavkEYzNO,Nebu Kiniza,0.798,0.568,0.0213
94,94,Too Much Sauce (feat. Future & Lil Uzi Vert),5oyUurs28XRagLa8lgm6V3,DJ ESCO,0.96,0.547,0.0496
95,95,Not Going Home (feat. Gia Koka),042x9bsUBWW2fJgJ6fUh61,"DVBBS, CMC$",0.713,0.733,0.0933
96,96,Litty (feat. Tory Lanez),5J5PXmMdQ2nh1lZOal8KmK,"Meek Mill, Sound M.O.B.",0.592,0.701,0.0451
97,97,One Night,40yJGQyEaBbIkXpwMFkXip,Lil Yachty,0.764,0.475,0.345
