,artist,genre
72,Zay Hilfigerrr,
73,Vice,"['mariachi', 'ranchera']"
74,Niall Horan,"['dance pop', 'pop', 'post-teen pop']"
75,Nevada,['eurodance']
76,Sia,"['australian dance', 'australian pop', 'dance pop', 'pop']"
77,Charlie Puth,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
78,Martin Jensen,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
79,Mike Posner,"['dance pop', 'pop', 'pop rap']"
80,Jonas Blue,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
81,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
82,Kanye West,"['chicago rap', 'rap']"
83,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
84,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
85,Russ,"['hawaiian hip hop', 'pop rap', 'rap']"
86,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
87,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
88,Kiiara,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']"
89,Flume,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
90,Sam Hunt,"['contemporary country', 'country pop']"
91,Keith Urban,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']"
92,Khalid,['pop']
93,Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
94,Alok,"['electro house', 'pop nacional', 'slap house']"
95,Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']"
96,FRENSHIP,"['electropop', 'indie poptimism', 'la pop', 'pop dance', 'pop edm', 'tropical house', 'vapor soul']"
