,artist,genre
350,Jack Ü,"['edm', 'electro house', 'pop dance']"
351,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']"
352,Prince Royce,"['bachata', 'latin', 'latin hip hop', 'latin pop']"
353,El Alfa,"['dembow', 'latin', 'rap dominicano', 'reggaeton', 'trap latino']"
354,Lenny Tavárez,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']"
355,DJ Nelson,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
356,DJ Tetraguy,
357,Amenazzy,"['dominican pop', 'latin', 'latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino']"
358,"Tito ""El Bambino""","['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']"
359,Pepe Quintana,"['perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
360,Quimico Ultra Mega,"['dembow', 'dominican pop', 'rap dominicano', 'trap dominicano', 'trap latino']"
361,Fuego,"['dominican pop', 'latin', 'latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano espanol']"
362,"Héctor Acosta ""El Torito""","['bachata', 'bachata dominicana', 'dominican pop', 'latin', 'tropical']"
363,Bulin 47,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']"
364,Yiyo Sarante,"['dominican pop', 'latin', 'modern salsa', 'salsa', 'tropical']"
365,Lary Over,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
366,Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
367,Mark B.,"['east coast hip hop', 'electro', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'old school hip hop', 'rap']"
368,Kelmitt,"['reggaeton flow', 'trap latino']"
369,Don Miguelo,"['dembow', 'dominican pop', 'latin', 'latin hip hop', 'rap dominicano', 'reggaeton', 'trap latino', 'tropical']"
370,Luis Fonsi,"['latin', 'latin pop', 'puerto rican pop']"
371,Nfasis,"['dembow', 'dominican pop', 'perreo', 'rap dominicano']"
372,Cabas,"['colombian pop', 'colombian rock', 'ecuadorian pop', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'reggaeton colombiano', 'tropical']"
373,Melendi,"['spanish pop', 'spanish pop rock']"
374,Sanluis,['pop reggaeton']
375,Jon Z,"['reggaeton', 'reggaeton flow', 'trap latino']"
376,Deorro,"['dance pop', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house', 'tropical house']"
377,Natalia Lafourcade,"['latin', 'latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'veracruz indie']"
378,Banda MS de Sergio Lizárraga,"['banda', 'corrido', 'norteno', 'regional mexican']"
379,Calibre 50,"['corrido', 'nuevo regional mexicano', 'regional mexican']"
380,Mike Perry,"['dance pop', 'deep tropical house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']"
381,Cartel De Santa,"['latin hip hop', 'mexican hip hop']"
382,Christian Nodal,"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']"
383,León Larregui,"['latin alternative', 'latin rock', 'rock en espanol']"
384,Milky Chance,['german pop']
385,Alta Consigna,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
386,Ariel Camacho y Los Plebes Del Rancho,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
387,Morat,"['colombian pop', 'latin', 'latin pop']"
388,Julión Álvarez y su Norteño Banda,
389,Ulices Chaidez,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
390,Gerardo Ortiz,"['banda', 'corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
391,Carlos Rivera,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
392,Los Plebes del Rancho de Ariel Camacho,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
393,La Adictiva Banda San José de Mesillas,"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']"
394,Crecer German,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
395,La Arrolladora Banda El Limón De Rene Camacho,"['banda', 'corrido', 'regional mexican', 'tropical']"
396,Yuridia,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
397,Zoé,['german pop']
398,Terror Jr,"['alt z', 'dance pop', 'electropop', 'indie electropop', 'indie poptimism', 'metropopolis', 'pop']"
399,Luis Miguel,"['bolero', 'latin', 'latin pop']"
400,Banda Los Recoditos,"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']"
401,Panteon Rococo,"['latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'ska mexicano']"
402,Pepe Aguilar,"['latin talent show', 'mariachi', 'ranchera']"
403,Ricardo Montaner,"['latin', 'latin pop', 'tropical']"
404,Alfredo Olivas,"['banda', 'corrido', 'deep regional mexican', 'nuevo regional mexicano', 'regional mexican']"
405,Manifiesto Urbano,"['musica nicaraguense', 'rock nica']"
406,Los Del Rio,"['norteno', 'norteno-sax', 'regional mexican']"
407,A Great Big World,"['indiecoustica', 'neo mellow', 'piano rock', 'pop rock']"
408,Jarabe De Palo,"['latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol', 'spanish pop', 'spanish rock']"
409,Ellie Goulding,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']"
410,Afro Bros,"['basshall', 'dutch hip hop', 'dutch house', 'dutch rap pop']"
411,Eddy Lover,"['latin', 'latin hip hop', 'panamanian pop', 'reggaeton']"
412,Lil Silvio & El Vega,['pop reggaeton']
413,Vicky Corbacho,"['bachata', 'latin']"
414,Orquesta Zaperoko del Callao,
415,We The Lion,"['indie rock peruano', 'peruvian indie', 'peruvian rock', 'pop peruano']"
416,DJ Krlos Berrospi,['pop reggaeton']
417,Los 4,"['cubaton', 'modern salsa']"
418,Mario Hart,['pop peruano']
419,Kchiporros,"['paraguayan rock', 'pop paraguayo']"
420,Japiaguar,"['cumbia paraguaya', 'cumbia pop', 'paraguayan rock']"
421,Mc Pikachu,['funk carioca']
422,Salamandra,['paraguayan rock']
423,Pipa Para Tabaco,"['paraguayan rock', 'pop paraguayo']"
424,La De Roberto,"['paraguayan rock', 'pop paraguayo']"
425,Jory Boy,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
426,Andy Rivera,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']"
427,Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
428,Danny Fornaris,['puerto rican pop']
429,Dame 5,['cumbia pop']
430,Miway,['cumbia pop']
431,Sonido De La Costa,['cumbia pop']
432,VAS,"['contemporary country', 'country', 'country road', 'modern country rock']"
433,Valeria Gau,['cumbia pop']
434,Pase Libre,['cumbia pop']
435,El Reja,['cumbia pop']
436,Dessia el Otro,['cumbia pop']
437,Halconizados de Amor,['cumbia pop']
438,VI-EM,"['alternative country', 'new americana', 'roots americana']"
439,The Panas,"['indonesian indie', 'indonesian pop']"
440,Corta La Bocha,['cumbia pop']
441,Mawi,
442,Enero,
443,A R I Z O N A,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']"
444,Lauv,"['electropop', 'pop', 'post-teen pop']"
445,Stanaj,
446,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']"
447,Julia Michaels,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
448,The xx,"['downtempo', 'dream pop', 'indietronica']"
449,Dread Mar I,"['argentine reggae', 'argentine rock', 'latin alternative', 'rock en espanol']"
450,Thiaguinho,['pagode']
451,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
452,Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
453,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
454,La La Land Cast,
455,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']"
456,D'Markuz,
457,Martin Solveig,"['dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']"
458,Leslie Shaw,['pop peruano']
459,Chapa C,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
460,La Reserva,"['deep norteno', 'norteno-sax']"
461,Jay Sean,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
462,Wale,"['dance pop', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
463,John Mayer,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']"
464,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
465,Julián Serrano,
466,Maxi Trusso,"['argentine indie', 'pop argentino']"
467,Ciro y los Persas,"['argentine rock', 'cumbia pop', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
468,Los Totora,['cumbia pop']
469,Pabllo Vittar,"['dance pop', 'funk carioca', 'funk pop', 'pop', 'pop lgbtq+ brasileira', 'pop nacional']"
470,Little Mix,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
471,Mc Don Juan,"['batidao romantico', 'funk carioca', 'funk ostentacao', 'funk paulista']"
472,SJUR,"['norwegian pop', 'scandipop', 'tropical house']"
473,TRXD,['norwegian pop']
474,Aaron Carter,"['dance pop', 'post-teen pop']"
475,Julie Bergan,"['norwegian pop', 'swedish pop']"
476,Jonathan Roy,['canadian folk']
477,Lil Jon,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'pop rap', 'southern hip hop']"
478,La Otra Fe,['pop chileno']
479,Mym,['opm']
480,Shaggy,"['dance pop', 'reggae fusion']"
481,Manuel Turizo,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
482,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
483,Kings of Leon,"['modern rock', 'rock']"
484,BK,['vapor trap']
485,4 Non Blondes,"['new wave pop', 'pop rock']"
486,"Osmani Garcia ""La Voz""",['cubaton']
487,Urband,"['dominican pop', 'merengue tipico']"
488,Alex Sensation,"['reggaeton', 'trap latino']"
489,XXXTENTACION,"['emo rap', 'miami hip hop']"
490,Kehlani,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
491,Marian Hill,['electropop']
492,Sabrina Carpenter,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']"
493,Thomas Gold,"['big room', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
494,Intoxicados,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']"
495,No Te Va Gustar,"['latin alternative', 'latin rock', 'rock en espanol', 'rock uruguayo']"
496,La Renga,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
497,Pedro Paulo & Alex,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
498,Grey,"['alt z', 'pop edm']"
499,Vanic,"['bass trap', 'edm', 'electronic trap', 'future bass', 'indie electropop', 'pop edm', 'traprun', 'vapor twitch']"
500,DiRTY RADiO,['canadian electronic']
501,Carlos Sadness,['spanish indie pop']
502,Kraken,"['colombian rock', 'latin metal', 'latin rock', 'metal colombiano', 'rock en espanol']"
503,Noriel,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
504,Café Tacvba,"['latin', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']"
505,Beatriz Luengo,"['latin', 'latin pop', 'spanish pop', 'spanish pop rock']"
506,James Blunt,"['neo mellow', 'pop', 'pop rock']"
507,DeGira,
508,Tu Papa,['cumbia pop']
509,Joaquín Sabina,"['cantautor', 'nueva cancion', 'rock en espanol', 'spanish pop', 'trova']"
510,Tee Grizzley,"['detroit hip hop', 'detroit trap', 'hip hop', 'rap', 'southern hip hop', 'trap']"
511,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']"
512,Ayo & Teo,"['social media pop', 'trap']"
513,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']"
514,Las Pelotas,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
515,Felix Gabriel,
516,Catupecu Machu,"['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
517,Luis Vega,
518,Diego Merritt,
519,Alesso,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']"
520,Dani Russo,"['funk carioca', 'funk pop', 'viral pop brasileiro']"
521,Karol Conká,"['afrofuturismo brasileiro', 'brazilian hip hop', 'funk carioca', 'indie curitibano', 'pop lgbtq+ brasileira', 'r&b brasileiro', 'rap feminino nacional', 'rap latina']"
522,Cat Dealers,['brazilian edm']
523,R3HAB,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']"
524,Alyssa Reid,['canadian pop']
525,Lost Kings,"['alt z', 'dance pop', 'edm', 'electro house', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']"
526,Noche de Brujas,"['cumbia chilena', 'cumbia ranchera']"
527,Alexandra Stan,"['dance pop', 'post-teen pop', 'romanian pop']"
528,DJ Luian,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
529,Techy Fatule,['dominican pop']
530,Brytiago,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
531,Alkilados,"['colombian pop', 'ecuadorian pop', 'latin', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
532,Katy Perry,"['dance pop', 'pop', 'post-teen pop']"
533,Nick Jonas,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
534,Beyoncé,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
535,MAX,"['dance pop', 'pop']"
536,Roy Woods,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'r&b', 'trap', 'trap soul']"
537,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
538,Gonzo Vizán,['cumbia pop']
539,Angela Torres,"['argentine telepop', 'latin viral pop']"
540,Trap Capos,"['reggaeton', 'reggaeton flow', 'trap latino']"
541,Bag Raiders,"['alternative dance', 'australian dance', 'filter house', 'indietronica', 'new rave', 'nu disco']"
542,Perrozompopo,"['musica costarricense', 'musica nicaraguense', 'rock nica']"
543,Korina Rivadeneira,
544,Agus Padilla,['cumbia pop']
545,Lana Del Rey,"['art pop', 'pop']"
546,NAV,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']"
547,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
548,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
549,BTS,"['k-pop', 'k-pop boy group']"
550,Christian Hudson,['canadian folk']
551,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
552,Los Fabulosos Cadillacs,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']"
553,Villanosam,"['dembow', 'dominican pop', 'rap dominicano', 'salsa choke', 'trap dominicano']"
554,Robinho,
555,Bohemia Urbana,"['cumbia paraguaya', 'paraguayan rock']"
556,El Cuarteto De Nos,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock uruguayo']"
557,Zedd,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']"
558,Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']"
559,Charly García,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']"
560,Claudia Leitte,"['axe', 'funk carioca', 'pagode', 'pop nacional', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
561,Mc Vitão,"['funk carioca', 'funk ostentacao', 'funk paulista']"
562,MC Bin Laden,"['funk carioca', 'funk ostentacao']"
563,João Brasil,['tecnobrega']
564,Leo Santana,"['axe', 'funk carioca', 'pagode', 'pagode baiano', 'pop nacional', 'sertanejo pop']"
565,Leka el Poeta,['salsa choke']
566,Dj Kass,['chilean hardcore']
567,Liro Shaq,"['dembow', 'dominican pop', 'rap dominicano']"
568,Real Phantom,['panamanian pop']
569,Dayme y El High,"['perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
570,Estrategas,['cumbia pop']
571,Lorde,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']"
572,Mike WiLL Made-It,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
573,JP Cooper,"['indie cafe pop', 'neo mellow', 'pop', 'pop rock', 'tropical house', 'uk pop']"
574,Gryffin,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
575,Coleman Hell,"['canadian pop', 'indie poptimism', 'pop rock']"
576,Frank Ocean,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
577,Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
578,Luke Combs,['contemporary country']
579,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
580,Mustard,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
581,Indio Solari y los Fundamentalistas del Aire Acondicionado,['argentine rock']
582,MC WM,['funk carioca']
583,Stargate,['norwegian pop']
584,Jax Jones,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk dance']"
585,Astrid S,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house']"
586,Santiago Cruz,"['colombian pop', 'ecuadorian pop', 'latin', 'latin pop']"
587,Ceky Viciny,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']"
588,Burak Yeter,['electro house']
589,Mario Bautista,"['latin', 'latin pop', 'latin viral pop', 'mexican pop', 'reggaeton', 'reggaeton mexicano', 'trap latino']"
590,Régulo Caro,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
591,Mc Zaac,"['funk carioca', 'funk pop']"
592,Haikaiss,['brazilian hip hop']
593,MC Fioti,"['funk carioca', 'funk paulista']"
594,Chris Jedi,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
595,Víctor Manuelle,"['latin', 'modern salsa', 'salsa', 'salsa peruana', 'salsa puertorriquena', 'tropical']"
596,Hombres G,"['latin', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'spanish rock']"
597,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
598,Gorillaz,['alternative hip hop']
599,blackbear,"['electropop', 'pop', 'pop rap']"
600,Brett Young,['contemporary country']
601,Trey Songz,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'trap', 'urban contemporary']"
602,Ulises Bueno,"['cuarteto', 'cumbia pop']"
603,Iggy Azalea,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']"
604,MC Lan,['jawaiian']
605,Lucky Rose,['pop edm']
606,Rag'n'Bone Man,
607,Gabriel Pagan,['dominican pop']
608,J Alvarez,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
609,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
610,Maggie Lindemann,"['alt z', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']"
611,YFN Lucci,"['arkansas hip hop', 'atl hip hop', 'melodic rap', 'pop r&b', 'rap', 'southern hip hop', 'trap']"
612,WizKid,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']"
613,The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
614,Michel Teló,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
615,Leroy Styles,['dutch edm']
616,Ñengo Flow,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
617,Calle 13,"['latin', 'latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']"
618,Pedro Suárez-Vértiz,"['peruvian rock', 'pop peruano']"
619,Av. Larco,
620,Xriz,['reggaeton']
621,Harry Styles,"['pop', 'post-teen pop']"
622,Lord Huron,"['indie folk', 'indie pop', 'stomp and holler']"
623,Josh Turner,"['contemporary country', 'country', 'country road', 'modern country rock']"
624,Bruno Martini,"['brazilian edm', 'edm', 'pop dance', 'pop nacional']"
625,Jerry Smith,"['brega funk', 'funk carioca']"
626,Felix Cartal,"['canadian electronic', 'edm', 'electro house', 'electropop', 'indie poptimism', 'pop dance', 'pop edm', 'tropical house']"
627,SBM,['mexican pop']
628,Luis Enrique,"['cuatro venezolano', 'latin', 'latin pop', 'modern salsa', 'musica nicaraguense', 'salsa', 'tropical']"
629,Los Negroni,"['cumbia pop', 'cumbia uruguaya', 'plena uruguaya']"
630,Playboi Carti,"['atl hip hop', 'plugg', 'rap', 'trap']"
631,Jason Aldean,"['contemporary country', 'country', 'country road']"
632,Nacho,"['dominican pop', 'latin', 'latin pop', 'pop reggaeton', 'pop venezolano', 'reggaeton', 'trap latino']"
633,Oriana,"['argentine telepop', 'pop argentino']"
634,Becky G,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']"
635,Paramore,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']"
636,El Gran Martín Elías,"['musica popular colombiana', 'vallenato', 'vallenato moderno']"
637,Martin Elías,"['musica popular colombiana', 'vallenato', 'vallenato moderno']"
638,Donny Caballero,['pop reggaeton']
639,Shawn Hook,['canadian pop']
640,Chayanne,"['latin', 'latin pop', 'puerto rican pop']"
641,Ofenbach,"['edm', 'pop dance', 'tropical house']"
642,Dvicio,"['latin', 'latin arena pop', 'latin pop', 'spanish pop']"
643,Em Rossi,
644,Drew Cole,
645,SZA,"['pop', 'pop rap', 'r&b']"
646,Fall Out Boy,"['emo', 'modern rock', 'pop punk']"
647,Thiago Brava,"['funk carioca', 'sertanejo pop', 'sertanejo universitario']"
648,Allie X,"['alt z', 'art pop', 'canadian electropop', 'canadian pop', 'dance pop', 'electropop', 'escape room', 'indie electropop', 'indie poptimism', 'metropopolis', 'pop', 'post-teen pop', 'vapor soul']"
649,Movimiento Original,"['chilean rock', 'rap chileno', 'reggae en espanol']"
650,Chris Stapleton,"['contemporary country', 'outlaw country']"
651,HAIM,"['art pop', 'dance pop', 'indie pop', 'metropopolis', 'pop rock']"
652,Bob Pressner,
653,Karl Wolf,"['canadian pop', 'pop quebecois']"
654,Los Bunkers,"['chilean rock', 'concepcion indie', 'latin alternative', 'latin rock', 'nueva cancion', 'rock en espanol']"
655,Juhn,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']"
656,Dasoul,
657,Vilma Palma e Vampiros,"['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']"
658,Caifanes,"['latin alternative', 'latin rock', 'mexican rock', 'nu-cumbia', 'rock en espanol', 'rock urbano mexicano']"
659,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']"
660,Rich Brian,['indonesian hip hop']
661,Ana Vilela,"['mpb', 'nova mpb']"
662,Madalen Duke,['canadian electropop']
663,Loote,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'nyc pop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']"
664,Timeflies,"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']"
665,Gepe,"['chilean indie', 'chilean rock', 'latin alternative', 'latin rock', 'nueva cancion']"
666,ChocQuibTown,"['colombian hip hop', 'colombian pop', 'latin', 'latin alternative', 'latin pop', 'reggaeton colombiano', 'salsa choke']"
667,Audioslave,"['alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']"
668,Tali,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'southern hip hop']"
669,Liam Payne,"['dance pop', 'pop', 'post-teen pop']"
670,Camila Cabello,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
671,GASHI,"['pop dance', 'pop rap', 'trap soul']"
672,Lil Pump,"['emo rap', 'miami hip hop', 'rap', 'trap', 'vapor trap']"
673,Soundgarden,"['alternative metal', 'alternative rock', 'blues rock', 'grunge', 'hard rock', 'modern rock', 'nu metal', 'rock']"
674,Maite Perroni,"['latin pop', 'mexican pop']"
675,Mallu Magalhães,"['brazilian indie', 'brazilian rock', 'mpb', 'nova mpb']"
676,1Kilo,"['brazilian hip hop', 'pop rap brasileiro', 'trap brasileiro']"
677,Alex Rose,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']"
678,La Máquina Camaleón,"['ecuadorian alternative rock', 'ecuadorian indie', 'ecuadorian pop']"
679,João Neto & Frederico,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
680,Rita Ora,"['australian pop', 'dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']"
681,Cassow,['experimental r&b']
682,Carly Rae Jepsen,"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']"
683,Los Enanitos Verdes,"['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']"
684,Mœnia,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'pop', 'rock en espanol']"
685,Axwell /\ Ingrosso,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
686,Kane Brown,"['contemporary country', 'country road']"
687,Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']"
688,Los Turros,"['cumbia paraguaya', 'cumbia pop', 'cumbia villera']"
689,UM44K,"['funk carioca', 'nova mpb', 'pop rap brasileiro', 'sertanejo pop']"
690,Arcade Fire,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']"
691,Gigolo Y La Exce,"['latin', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
692,Valentino,"['brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']"
693,Residente,['venezuelan hip hop']
694,C. Tangana,['urbano espanol']
695,Taylor Swift,"['pop', 'post-teen pop']"
696,De La Calle,"['corridos tumbados', 'sierreno']"
697,Portugal. The Man,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
